strat1	strat2	value
1	1	100
1	2	100
1	3	100
1	4	100
1	5	100
1	6	100
1	7	86
1	8	64
1	9	1
1	10	0
2	1	100
2	2	100
2	3	100
2	4	100
2	5	100
2	6	100
2	7	91
2	8	48
2	9	1
2	10	0
3	1	100
3	2	100
3	3	100
3	4	100
3	5	100
3	6	100
3	7	36
3	8	98
3	9	1
3	10	0
4	1	100
4	2	100
4	3	100
4	4	100
4	5	100
4	6	100
4	7	77
4	8	50
4	9	1
4	10	0
5	1	100
5	2	100
5	3	100
5	4	100
5	5	100
5	6	100
5	7	64
5	8	33
5	9	1
5	10	0
6	1	100
6	2	100
6	3	100
6	4	100
6	5	100
6	6	100
6	7	77
6	8	0
6	9	1
6	10	0
7	1	70
7	2	100
7	3	5
7	4	67
7	5	93
7	6	100
7	7	55
7	8	71
7	9	1
7	10	0
8	1	35
8	2	52
8	3	1
8	4	50
8	5	67
8	6	100
8	7	47
8	8	50
8	9	1
8	10	0
9	1	2
9	2	13
9	3	2
9	4	2
9	5	51
9	6	100
9	7	34
9	8	98
9	9	99
9	10	0
10	1	1
10	2	11
10	3	1
10	4	1
10	5	50
10	6	100
10	7	31
10	8	99
10	9	1
10	10	0