count,HDIRank,Country,mExp2000,mExp2005,mExp2006,mExp2007,mExp2008,mExp2009,mExp2010,mExp2011,mExp2012,mExp2013,fExp2000,fExp2005,fExp2006,fExp2007,fExp2008,fExp2009,fExp2010,fExp2011,fExp2012,fExp2013,mMean1980,mMean1985,mMean1990,mMean2000,mMean2005,mMean2010,mMean2012,mMean2013,CountryAgain,fMean1980,fMean1985,fMean1990,fMean2000,fMean2005,fMean2010,fMean2012,fMean2013,difMale,difFemale,difExp,difMean,opMale,opFemale,opExp,opMean
1,187,Niger,,4.5,4.6,4.8,5,5.2,5.5,5.8,6.1,6.1,,3.1,3.2,3.3,3.6,3.9,4.2,4.5,4.8,4.8,0.8,0.9,1.1,1.6,1.9,2.1,2.1,2.1,Niger,0.1,0.2,0.3,0.5,0.7,0.8,0.8,0.8,4,4,1.3,1.3,0.476190476,0.49382716,0.371428571,0.382352941
2,184,Chad,6.3,6.9,,,7.8,8.3,8.2,8.9,8.9,8.9,3.4,4.1,,,4.8,5.1,5.2,5.9,5.9,5.9,,,,,,,2.3,2.3,Chad,,,,,,,0.6,0.6,6.6,5.3,3,1.7,0.785714286,0.654320988,0.857142857,0.5
3,185,Central African Republic,,,,,,8,,,8.6,8.6,,,,,,5.4,,,5.9,5.9,1.7,2.4,3.2,4.1,4.6,4.9,4.9,4.9,Central African Republic,0.5,0.7,1.1,1.7,2,2.3,2.3,2.3,3.7,3.6,2.7,2.6,0.44047619,0.444444444,0.771428571,0.764705882
4,183,Sierra Leone,,,,,,,,,8.4,8.4,,,,,,,,,6.1,6.1,1.4,1.8,2.2,3,3.4,3.8,3.8,3.8,Sierra Leone,0.6,0.8,1,1.5,1.8,2,2,2,4.6,4.1,2.3,1.8,0.547619048,0.50617284,0.657142857,0.529411765
5,181,Burkina Faso,4.1,5.3,5.6,6,6.4,6.9,7.3,7.7,8,8,2.8,4,4.3,4.8,5.3,5.7,6.2,6.7,7,7,,,,,,,1.1,1.1,Burkina Faso,,,,,,,1.9,1.9,6.9,5.1,1,-0.8,0.821428571,0.62962963,0.285714286,-0.235294118
6,179,Guinea,,8.6,9.1,9.5,9.6,9.6,,10,10.1,10.1,,5.8,6.3,6.7,6.8,6.8,,7.3,7.4,7.4,,,,,,,2.6,2.6,Guinea,,,,,,,0.8,0.8,7.5,6.6,2.7,1.8,0.892857143,0.814814815,0.771428571,0.529411765
7,176,Mali,5.8,,,8.2,8.7,9,9.2,9.3,9.6,9.6,4.1,,,6.4,6.7,6.9,7.2,7.5,7.6,7.6,0.6,0.8,1.1,1.4,1.6,1.9,2.6,2.6,Mali,0.2,0.3,0.4,0.7,0.8,1,1.4,1.4,7,6.2,2,1.2,0.833333333,0.765432099,0.571428571,0.352941176
8,163,Senegal,,,7.2,,7.9,,8.1,,8.1,8.1,,,6.4,,7.3,,7.8,,7.8,7.8,3.2,3.6,4,4.8,5.2,5.6,5.6,5.6,Senegal,1.6,1.9,2.1,2.7,3,3.4,3.4,3.4,2.5,4.4,0.3,2.2,0.297619048,0.543209877,0.085714286,0.647058824
9,173,Ethiopia,5.3,7.6,,,9,8.8,8.8,9,9,9,3.4,5.7,,,7.4,7.5,7.6,7.9,8,8,,,,,,,3.6,3.6,Ethiopia,,,,,,,1.4,1.4,5.4,6.6,1,2.2,0.642857143,0.814814815,0.285714286,0.647058824
10,161,Mauritania,,7.3,7.6,7.6,7.2,7.7,7.8,7.9,8.3,8.3,,7.1,7.3,7.4,7.1,7.6,7.7,7.7,8.1,8.1,2.3,2.6,2.9,3.9,4.4,4.9,4.9,4.9,Mauritania,1.3,1.4,1.6,2.1,2.3,2.6,2.6,2.6,3.4,5.5,0.2,2.3,0.404761905,0.679012346,0.057142857,0.676470588
11,152,Nigeria,8.8,9.8,,,,,,,9.8,9.8,7.1,8.2,,,,,,,8.2,8.2,,,,,,,6.3,6.3,Nigeria,,,,,,,4.2,4.2,3.5,4,1.6,2.1,0.416666667,0.49382716,0.457142857,0.617647059
12,186,Congo (Dem Rep),,,,9.3,10.1,10.3,,10.6,10.9,10.9,,,,6.6,7.4,7.6,,8,8.4,8.4,1.9,2.3,3,4.2,4.2,4.1,4.1,4.1,Congo (Democratic Republic of the),0.5,0.8,1.1,1.7,1.9,2.1,2.1,2.1,6.8,6.3,2.5,2,0.80952381,0.777777778,0.714285714,0.588235294
13,166,Togo,11.4,12,12.4,11.9,,,,,11.9,11.9,7.5,8.6,9,8.5,,,,,8.5,8.5,2.7,3.6,4.5,5.9,6.3,6.7,6.7,6.7,Togo,0.9,1.2,1.6,2.5,2.9,3.3,3.3,3.3,5.2,5.2,3.4,3.4,0.619047619,0.641975309,0.971428571,1
14,175,Liberia,12.4,,,,,,,,12.4,12.4,8.9,,,,,,,,8.9,8.9,2.3,3,3.8,4.8,5,5.6,5.6,5.6,Liberia,0.7,0.9,1.1,1.7,1.9,2.3,2.3,2.3,6.8,6.6,3.5,3.3,0.80952381,0.814814815,1,0.970588235
15,178,Mozambique,6.7,9,9.3,9.9,10.4,10.4,,10.1,10.1,10.1,4.9,7.3,7.7,8.3,8.7,8.9,,8.9,8.9,8.9,0.7,1.4,1.4,1.4,1.6,1.7,1.7,1.7,Mozambique,0.7,0.3,0.4,0.5,0.7,0.8,0.8,0.8,8.4,8.1,1.2,0.9,1,1,0.342857143,0.264705882
16,159,Tanzania (Untd Rep of),,,,,,,9.4,,9.3,9.3,,,,,,,9.1,,9,9,3.7,4.4,4.8,5.3,5.6,5.8,5.8,5.8,Tanzania (United Republic of),1.5,2,2.5,3.9,4,4.5,4.5,4.5,3.5,4.5,0.3,1.3,0.416666667,0.555555556,0.085714286,0.382352941
17,156,Zimbabwe,10.2,,,,,,,,9.5,9.5,9.5,,,,,,,,9.1,9.1,4,4.9,5.5,6.7,7.5,7.8,7.8,7.8,Zimbabwe,2.5,3.1,3.6,5.1,6.1,6.7,6.7,6.7,1.7,2.4,0.4,1.1,0.202380952,0.296296296,0.114285714,0.323529412
18,165,Benin,8.3,10.5,,,,,,12.7,12.7,12.7,4.9,7,,,,,,9.4,9.4,9.4,1,1.7,2.6,3.7,4.1,4.4,4.4,4.4,Benin,0.3,0.6,0.8,1.5,1.8,2,2,2,8.3,7.4,3.3,2.4,0.988095238,0.913580247,0.942857143,0.705882353
19,152,Cameroon,,9,8.8,9.5,10,10.5,10.9,11.2,11.2,11.2,,7.4,7.2,7.9,8.3,8.9,9.2,9.5,9.5,9.5,3,3.7,4.4,5.7,6.3,6.7,6.7,6.7,Cameroon,1.3,1.9,2.5,3.9,4.6,5.1,5.1,5.1,4.5,4.4,1.7,1.6,0.535714286,0.543209877,0.485714286,0.470588235
20,180,Burundi,,6.6,7.9,,,,10.7,,10.7,10.7,,5.3,6.7,,,,9.6,,9.6,9.6,1.7,1.9,2.2,2.5,2.9,3.3,3.3,3.3,Burundi,0.6,0.8,0.8,1.3,1.7,2.2,2.2,2.2,7.4,7.4,1.1,1.1,0.880952381,0.913580247,0.314285714,0.323529412
21,155,Madagascar,,9.3,9.5,9.6,9.9,10.4,,,10.5,10.5,,8.8,9,9.1,9.5,10,,,10.2,10.2,,,,,,,5.6,5.6,Madagascar,,,,,,,4.8,4.8,4.9,5.4,0.3,0.8,0.583333333,0.666666667,0.085714286,0.235294118
22,151,Rwanda,,,,,,9.3,9.5,9.8,10.2,10.2,,,,,,9.2,9.5,10,10.3,10.3,1.7,2.2,2.4,2.7,3.2,3.6,3.6,3.6,Rwanda,0.6,0.9,1.2,1.9,2.5,3.1,3.1,3.1,6.6,7.2,-0.1,0.5,0.785714286,0.888888889,-0.028571429,0.147058824
23,164,Uganda,11.2,,10.3,10.4,10.7,10.9,,,10.9,10.9,10.1,,9.9,10,10.4,10.6,,,10.6,10.6,2.7,3.2,3.7,4.8,5.2,5.7,6.4,6.4,Uganda,1.1,1.4,1.9,2.9,3.4,3.8,4.3,4.3,4.5,6.3,0.3,2.1,0.535714286,0.777777778,0.085714286,0.617647059
24,147,Kenya,8.5,9.9,10.1,10.7,,11.3,,,11.3,11.3,8.2,9.4,9.6,10,,10.7,,,10.7,10.7,3.9,4.7,5.4,6.7,6.9,7.1,7.1,7.1,Kenya,1.6,2.2,3,4.4,5,5.4,5.4,5.4,4.2,5.3,0.6,1.7,0.5,0.654320988,0.171428571,0.5
25,174,Malawi,10.7,9.8,9.8,9.6,,,10.6,10.7,10.7,10.7,9.8,9.5,9.6,9.4,,,10.6,10.8,10.8,10.8,2.4,3.1,3.3,4.1,4.4,5.1,5.1,5.1,Malawi,1.2,1.2,1.6,2.1,2.5,3.4,3.4,3.4,5.6,7.4,-0.1,1.7,0.666666667,0.913580247,-0.028571429,0.5
26,138,Ghana,8.5,9.2,9.6,10.2,10.9,10.9,,11.6,12.1,12.1,7.5,8.2,8.7,9.4,10,10.1,,10.8,10.9,10.9,5,6,6.9,7.6,7.8,8.1,8.1,8.1,Ghana,2.2,3,3.7,5,5.3,5.9,5.9,5.9,4,5,1.2,2.2,0.476190476,0.617283951,0.342857143,0.647058824
27,140,Congo,8.8,,,,,,,,11.3,11.3,7.3,,,,,,,,10.9,10.9,3.6,4.5,5.7,6.5,6.6,6.7,6.7,6.7,Congo,1.4,2,3.1,4.9,5.3,5.5,5.5,5.5,4.6,5.4,0.4,1.2,0.547619048,0.666666667,0.114285714,0.352941176
28,148,Swaziland,9.5,10.2,10.7,,,,,11.8,11.8,11.8,9,9.7,10.2,,,,,10.9,10.9,10.9,3.5,3.5,4.1,5.3,6,6.8,6.8,6.8,Swaziland,3.6,4.8,5.4,6.6,7,7.4,7.4,7.4,5,3.5,0.9,-0.6,0.595238095,0.432098765,0.257142857,-0.176470588
29,127,Namibia,11.5,11.4,11.3,,,,,,11.3,11.3,11.7,11.5,11.4,,,,,,11.4,11.4,4.8,5.4,6,5.6,5.9,6.1,6.1,6.1,Namibia,3.8,4.4,5.3,5.5,6,6.3,6.3,6.3,5.2,5.1,-0.1,-0.2,0.619047619,0.62962963,0.028571429,-0.058823529
30,162,Lesotho,9.8,10.4,10.4,,,,,,10.6,10.6,10.9,11,11,,,,,,11.6,11.6,3,3.2,3.4,3.7,4,4.5,4.6,4.6,Lesotho,4.2,4.7,5.1,5.7,6.1,6.7,6.8,6.8,6,4.8,-1,-2.2,0.714285714,0.592592593,0.285714286,-0.647058824
31,109,Botswana,11.7,11.8,11.6,,,,,,11.6,11.6,11.8,12.1,11.7,,,,,,11.7,11.7,2.3,3.9,5.5,7.5,8.2,9,9,9,Botswana,2.3,3.7,5.5,7.5,8.1,8.7,8.7,8.7,2.6,3,-0.1,0.3,0.30952381,0.37037037,0.028571429,0.088235294
32,141,Zambia,,,,,,,,,13.9,13.9,,,,,,,,,13,13,4.6,5.5,6.2,7,7.2,7.2,7.2,7.2,Zambia,2.1,2.6,3.2,4.8,5.3,5.8,5.8,5.8,6.7,7.2,0.9,1.4,0.797619048,0.888888889,0.257142857,0.411764706